Source,Target,Weight
郑西坡,林华华,27
郑西坡,欧阳菁,46
郑西坡,祁同伟,9
郑西坡,高育良,31
郑西坡,沙瑞金,45
郑西坡,丁义珍,15
赵东来,郑西坡,172
赵东来,陈岩石,83
赵东来,蔡成功,505
赵东来,高小琴,56
赵东来,郑胜利,9
赵东来,陈海,94
赵东来,陆亦可,235
赵东来,李达康,329
赵东来,祁同伟,204
赵东来,高育良,74
赵东来,沙瑞金,142
赵东来,侯亮平,449
赵东来,丁义珍,76
赵东来,林华华,17
赵东来,欧阳菁,98
赵东来,王大路,16
赵东来,小皮球,54
郑胜利,郑西坡,261
郑胜利,陈岩石,17
郑胜利,赵东来,9
郑胜利,蔡成功,55
郑胜利,侯亮平,141
郑胜利,陆亦可,47
郑胜利,欧阳菁,5
郑胜利,李达康,43
郑胜利,沙瑞金,42
郑胜利,高育良,28
郑胜利,丁义珍,14
欧阳菁,蔡成功,298
欧阳菁,侯亮平,654
欧阳菁,陆亦可,162
欧阳菁,林华华,154
欧阳菁,陈海,45
欧阳菁,赵东来,98
欧阳菁,郑西坡,46
欧阳菁,李达康,818
欧阳菁,郑胜利,5
欧阳菁,高小琴,161
欧阳菁,祁同伟,150
欧阳菁,高育良,193
欧阳菁,王大路,168
欧阳菁,沙瑞金,107
欧阳菁,丁义珍,153
欧阳菁,小皮球,36
王大路,李达康,189
王大路,欧阳菁,168
王大路,侯亮平,58
王大路,高小琴,9
王大路,陈海,5
王大路,陆亦可,34
王大路,赵东来,16
王大路,祁同伟,6
王大路,蔡成功,43
王大路,沙瑞金,18
王大路,丁义珍,10
王大路,林华华,38
小皮球,丁义珍,216
小皮球,祁同伟,54
小皮球,赵东来,54
小皮球,陆亦可,54
小皮球,侯亮平,252
小皮球,李达康,72
小皮球,欧阳菁,36
